phase,query_type,actor,emotion,bucket,approach,elapsed_seconds,n_files
write,write,,,video_large,polyglot,0.077234,1
write,write,,,video_large,pure_mongo,0.055614,1
write,write,,,video_large,polyglot,0.046088,1
write,write,,,video_large,pure_mongo,0.107844,1
write,write,,,video_large,polyglot,0.084267,1
write,write,,,video_large,pure_mongo,0.054353,1
write,write,,,video_large,polyglot,0.054985,1
write,write,,,video_large,pure_mongo,0.045889,1
write,write,,,video_large,polyglot,0.048892,1
write,write,,,video_large,pure_mongo,0.053138,1
write,write,,,video_large,polyglot,0.053284,1
write,write,,,video_large,pure_mongo,0.051117,1
write,write,,,video_large,polyglot,0.058555,1
write,write,,,video_large,pure_mongo,0.092872,1
write,write,,,video_large,polyglot,0.058398,1
write,write,,,video_large,pure_mongo,0.058168,1
write,write,,,video_large,polyglot,0.070856,1
write,write,,,video_large,pure_mongo,0.090520,1
write,write,,,audio_small,polyglot,0.006274,1
write,write,,,audio_small,pure_mongo,0.004661,1
write,write,,,audio_small,polyglot,0.004794,1
write,write,,,audio_small,pure_mongo,0.003845,1
write,write,,,audio_small,polyglot,0.006474,1
write,write,,,audio_small,pure_mongo,0.003908,1
write,write,,,audio_small,polyglot,0.004699,1
write,write,,,audio_small,pure_mongo,0.004206,1
write,write,,,audio_small,polyglot,0.013794,1
write,write,,,audio_small,pure_mongo,0.009822,1
write,write,,,audio_small,polyglot,0.010641,1
write,write,,,audio_small,pure_mongo,0.008087,1
write,write,,,audio_small,polyglot,0.006281,1
write,write,,,audio_small,pure_mongo,0.005601,1
write,write,,,audio_small,polyglot,0.005885,1
write,write,,,audio_small,pure_mongo,0.007350,1
write,write,,,audio_small,polyglot,0.005171,1
write,write,,,audio_small,pure_mongo,0.005695,1
write,write,,,audio_small,polyglot,0.005050,1
write,write,,,audio_small,pure_mongo,0.004546,1
write,write,,,video_medium,polyglot,0.009796,1
write,write,,,video_medium,pure_mongo,0.009109,1
write,write,,,video_medium,polyglot,0.011229,1
write,write,,,video_medium,pure_mongo,0.010046,1
write,write,,,video_medium,polyglot,0.010596,1
write,write,,,video_medium,pure_mongo,0.010997,1
write,write,,,video_medium,polyglot,0.012352,1
write,write,,,video_medium,pure_mongo,0.011666,1
write,write,,,video_medium,polyglot,0.014129,1
write,write,,,video_medium,pure_mongo,0.011750,1
write,write,,,video_medium,polyglot,0.012214,1
write,write,,,video_medium,pure_mongo,0.015059,1
write,write,,,video_medium,polyglot,0.011866,1
write,write,,,video_medium,pure_mongo,0.014473,1
write,write,,,video_medium,polyglot,0.014276,1
write,write,,,video_medium,pure_mongo,0.011283,1
write,write,,,video_medium,polyglot,0.024599,1
write,write,,,video_medium,pure_mongo,0.012170,1
write,write,,,video_medium,polyglot,0.013367,1
write,write,,,video_medium,pure_mongo,0.012558,1
write,write,,,video_large,polyglot,0.047357,1
write,write,,,video_large,pure_mongo,0.048474,1
write,write,,,video_large,polyglot,0.066047,1
write,write,,,video_large,pure_mongo,0.048033,1
write,write,,,video_large,polyglot,0.039946,1
write,write,,,video_large,pure_mongo,0.041404,1
write,write,,,video_large,polyglot,0.040751,1
write,write,,,video_large,pure_mongo,0.037299,1
write,write,,,video_large,polyglot,0.041505,1
write,write,,,video_large,pure_mongo,0.046338,1
write,write,,,video_large,polyglot,0.061514,1
write,write,,,video_large,pure_mongo,0.052058,1
write,write,,,video_large,polyglot,0.048494,1
write,write,,,video_large,pure_mongo,0.051444,1
write,write,,,video_large,polyglot,0.063636,1
write,write,,,video_large,pure_mongo,0.047930,1
write,write,,,video_large,polyglot,0.046053,1
write,write,,,video_large,pure_mongo,0.052882,1
write,write,,,video_large,polyglot,0.087140,1
write,write,,,video_large,pure_mongo,0.053289,1
write,write,,,audio_small,polyglot,0.010770,1
write,write,,,audio_small,pure_mongo,0.007793,1
write,write,,,audio_small,polyglot,0.006957,1
write,write,,,audio_small,pure_mongo,0.005305,1
write,write,,,audio_small,polyglot,0.007524,1
write,write,,,audio_small,pure_mongo,0.007878,1
write,write,,,audio_small,polyglot,0.006280,1
write,write,,,audio_small,pure_mongo,0.005783,1
write,write,,,audio_small,polyglot,0.006637,1
write,write,,,audio_small,pure_mongo,0.005334,1
write,write,,,audio_small,polyglot,0.008957,1
write,write,,,audio_small,pure_mongo,0.009235,1
write,write,,,audio_small,polyglot,0.006329,1
write,write,,,audio_small,pure_mongo,0.005425,1
write,write,,,audio_small,polyglot,0.005450,1
write,write,,,audio_small,pure_mongo,0.005399,1
write,write,,,audio_small,polyglot,0.006421,1
write,write,,,audio_small,pure_mongo,0.005967,1
write,write,,,audio_small,polyglot,0.009193,1
write,write,,,audio_small,pure_mongo,0.010970,1
write,write,,,video_medium,polyglot,0.014129,1
write,write,,,video_medium,pure_mongo,0.031960,1
write,write,,,video_medium,polyglot,0.009920,1
write,write,,,video_medium,pure_mongo,0.013728,1
write,write,,,video_medium,polyglot,0.018657,1
write,write,,,video_medium,pure_mongo,0.011745,1
write,write,,,video_medium,polyglot,0.018389,1
write,write,,,video_medium,pure_mongo,0.013976,1
write,write,,,video_medium,polyglot,0.013967,1
write,write,,,video_medium,pure_mongo,0.018102,1
write,write,,,video_medium,polyglot,0.015125,1
write,write,,,video_medium,pure_mongo,0.015298,1
write,write,,,video_medium,polyglot,0.021135,1
write,write,,,video_medium,pure_mongo,0.012874,1
write,write,,,video_medium,polyglot,0.017853,1
write,write,,,video_medium,pure_mongo,0.012078,1
write,write,,,video_medium,polyglot,0.018335,1
write,write,,,video_medium,pure_mongo,0.017570,1
write,write,,,video_medium,polyglot,0.016384,1
write,write,,,video_medium,pure_mongo,0.018467,1
write,write,,,video_large,polyglot,0.086902,1
write,write,,,video_large,pure_mongo,0.065547,1
write,write,,,video_large,polyglot,0.077877,1
write,write,,,video_large,pure_mongo,0.056947,1
write,write,,,video_large,polyglot,0.105269,1
write,write,,,video_large,pure_mongo,0.110239,1
write,write,,,video_large,polyglot,2.090200,1
write,write,,,video_large,pure_mongo,0.095347,1
write,write,,,video_large,polyglot,0.090377,1
write,write,,,video_large,pure_mongo,0.062015,1
write,write,,,video_large,polyglot,0.090513,1
write,write,,,video_large,pure_mongo,0.069871,1
write,write,,,video_large,polyglot,0.073288,1
write,write,,,video_large,pure_mongo,0.048297,1
write,write,,,video_large,polyglot,0.052918,1
write,write,,,video_large,pure_mongo,0.052981,1
write,write,,,video_large,polyglot,0.078722,1
write,write,,,video_large,pure_mongo,0.062151,1
write,write,,,video_large,polyglot,0.087585,1
write,write,,,video_large,pure_mongo,0.055348,1
write,write,,,audio_small,polyglot,0.007226,1
write,write,,,audio_small,pure_mongo,0.007828,1
write,write,,,audio_small,polyglot,0.006177,1
write,write,,,audio_small,pure_mongo,0.008411,1
write,write,,,audio_small,polyglot,0.005367,1
write,write,,,audio_small,pure_mongo,0.005288,1
write,write,,,audio_small,polyglot,0.008202,1
write,write,,,audio_small,pure_mongo,0.007441,1
write,write,,,audio_small,polyglot,0.007793,1
write,write,,,audio_small,pure_mongo,0.007385,1
write,write,,,audio_small,polyglot,0.010170,1
write,write,,,audio_small,pure_mongo,0.009066,1
write,write,,,audio_small,polyglot,0.007290,1
write,write,,,audio_small,pure_mongo,0.004815,1
write,write,,,audio_small,polyglot,0.007232,1
write,write,,,audio_small,pure_mongo,0.006402,1
write,write,,,audio_small,polyglot,0.005845,1
write,write,,,audio_small,pure_mongo,0.007041,1
write,write,,,audio_small,polyglot,0.007477,1
write,write,,,audio_small,pure_mongo,0.006142,1
write,write,,,video_medium,polyglot,0.012093,1
write,write,,,video_medium,pure_mongo,0.014441,1
write,write,,,video_medium,polyglot,0.012870,1
write,write,,,video_medium,pure_mongo,0.012644,1
write,write,,,video_medium,polyglot,0.015412,1
write,write,,,video_medium,pure_mongo,0.011488,1
write,write,,,video_medium,polyglot,0.018979,1
write,write,,,video_medium,pure_mongo,0.011777,1
write,write,,,video_medium,polyglot,0.017425,1
write,write,,,video_medium,pure_mongo,0.012562,1
write,write,,,video_medium,polyglot,0.014809,1
write,write,,,video_medium,pure_mongo,0.015009,1
write,write,,,video_medium,polyglot,0.018296,1
write,write,,,video_medium,pure_mongo,0.013364,1
write,write,,,video_medium,polyglot,0.016944,1
write,write,,,video_medium,pure_mongo,0.012594,1
write,write,,,video_medium,polyglot,0.021963,1
write,write,,,video_medium,pure_mongo,0.015388,1
write,write,,,video_medium,polyglot,0.013516,1
write,write,,,video_medium,pure_mongo,0.014039,1
write,write,,,video_large,polyglot,0.045802,1
write,write,,,video_large,pure_mongo,0.077456,1
write,write,,,video_large,polyglot,0.048772,1
write,write,,,video_large,pure_mongo,0.128696,1
write,write,,,video_large,polyglot,0.106488,1
write,write,,,video_large,pure_mongo,0.042984,1
write,write,,,video_large,polyglot,0.110023,1
write,write,,,video_large,pure_mongo,0.072200,1
write,write,,,video_large,polyglot,0.151186,1
write,write,,,video_large,pure_mongo,0.048802,1
write,write,,,video_large,polyglot,0.055818,1
write,write,,,video_large,pure_mongo,0.066535,1
write,write,,,video_large,polyglot,0.049656,1
write,write,,,video_large,pure_mongo,0.045406,1
write,write,,,video_large,polyglot,0.051607,1
write,write,,,video_large,pure_mongo,0.060528,1
write,write,,,video_large,polyglot,0.050017,1
write,write,,,video_large,pure_mongo,0.052361,1
write,write,,,video_large,polyglot,0.055400,1
write,write,,,video_large,pure_mongo,0.053606,1
write,write,,,audio_small,polyglot,0.008482,1
write,write,,,audio_small,pure_mongo,0.006819,1
write,write,,,audio_small,polyglot,0.006859,1
write,write,,,audio_small,pure_mongo,0.007210,1
write,write,,,audio_small,polyglot,0.007338,1
write,write,,,audio_small,pure_mongo,0.007751,1
write,write,,,audio_small,polyglot,0.006877,1
write,write,,,audio_small,pure_mongo,0.005290,1
write,write,,,audio_small,polyglot,0.006602,1
write,write,,,audio_small,pure_mongo,0.006252,1
write,write,,,audio_small,polyglot,0.009182,1
write,write,,,audio_small,pure_mongo,0.014101,1
write,write,,,audio_small,polyglot,0.008271,1
write,write,,,audio_small,pure_mongo,0.008857,1
write,write,,,audio_small,polyglot,0.007427,1
write,write,,,audio_small,pure_mongo,0.006891,1
write,write,,,audio_small,polyglot,0.006423,1
write,write,,,audio_small,pure_mongo,0.005865,1
write,write,,,audio_small,polyglot,0.007156,1
write,write,,,audio_small,pure_mongo,0.007746,1
write,write,,,video_medium,polyglot,0.015578,1
write,write,,,video_medium,pure_mongo,0.010830,1
write,write,,,video_medium,polyglot,0.011653,1
write,write,,,video_medium,pure_mongo,0.014415,1
write,write,,,video_medium,polyglot,0.011425,1
write,write,,,video_medium,pure_mongo,0.015356,1
write,write,,,video_medium,polyglot,0.014618,1
write,write,,,video_medium,pure_mongo,0.014454,1
write,write,,,video_medium,polyglot,0.013952,1
write,write,,,video_medium,pure_mongo,0.013938,1
write,write,,,video_medium,polyglot,0.014251,1
write,write,,,video_medium,pure_mongo,0.013926,1
write,write,,,video_medium,polyglot,0.015763,1
write,write,,,video_medium,pure_mongo,0.012873,1
write,write,,,video_medium,polyglot,0.017938,1
write,write,,,video_medium,pure_mongo,0.011678,1
write,write,,,video_medium,polyglot,0.012949,1
write,write,,,video_medium,pure_mongo,0.013509,1
write,write,,,video_medium,polyglot,0.015448,1
write,write,,,video_medium,pure_mongo,0.011939,1
write,write,,,video_large,polyglot,0.043390,1
write,write,,,video_large,pure_mongo,0.048461,1
write,write,,,video_large,polyglot,0.041647,1
